"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 02 10:28:55 IST 2023","Wed Aug 02 10:28:55 IST 2023","3","Suite","Test","Test.Person.DatabaseTestCases","Test.Person.DatabaseTestCases","launchBrowser","launchBrowser",""
"passed","Wed Aug 02 10:30:09 IST 2023","Wed Aug 02 10:30:54 IST 2023","44593","Suite","Test","Test.Person.DatabaseTestCases","Test.Person.DatabaseTestCases","databaseTesting","databaseTesting","Test for database testing"
"broken","Wed Aug 02 10:28:56 IST 2023","Wed Aug 02 10:28:56 IST 2023","0","Suite","Test","Test.Person.DatabaseTestCases","Test.Person.DatabaseTestCases","extractDataExcleAndObjectOfClassCreations","extractDataExcleAndObjectOfClassCreations",""
